Player,Team,TI,B. Impact,Bo. Impact
Sanju Samson,RR,91.23,91.23,-
Sandeep Sharma,RR,85.69,-,85.69
KL Rahul,LSG,65.05,65.05,-
Jos Buttler,RR,55.94,55.94,-
Dhruv Jurel,RR,52.84,52.84,-
Deepak Hooda,LSG,49.85,49.85,-
Trent Boult,RR,47.21,-,47.21
Avesh Khan,RR,34.25,-,34.25
Ravichandran Ashwin,RR,31.21,-,31.21
Krunal Pandya,LSG,30.64,0.16,30.48
Marcus Stoinis,LSG,30.2,- 10.8,41
Amit Mishra,LSG,29.42,-,29.42
Yash Thakur,LSG,26.37,-,26.37
Yashasvi Jaiswal,RR,19.41,19.41,-
Quinton de Kock,LSG,12.7,12.7,-
Riyan Parag,RR,8.7,8.7,-
Yuzvendra Chahal,RR,5.23,-,5.23
Matt Henry,LSG,2.33,-,2.33
Ayush Badoni,LSG,1.6,1.6,-
Rovman Powell,RR,-,-,-
Shimron Hetmyer,RR,-,-,-
Nicholas Pooran,LSG,- 3.62,- 3.62,-
Ravi Bishnoi,LSG,- 5.4,-,- 5.4
Mohsin Khan,LSG,- 8.73,-,- 8.73
