Player,Team,TI,B. Impact,Bo. Impact
Sunil Narine,KKR,158.04,67.27,90.77
Jonny Bairstow,PBKS,123.37,123.37,-
Prabhsimran Singh,PBKS,93.01,93.01,-
Arshdeep Singh,PBKS,91.04,-,91.04
Shashank Singh,PBKS,78.31,78.31,-
Rahul Chahar,PBKS,68.31,-,68.31
Phil Salt,KKR,58.48,58.48,-
Shreyas Iyer,KKR,33.09,33.09,-
Sam Curran,PBKS,27.4,-,27.4
Harshal Patel,PBKS,25.01,-,25.01
Harpreet Brar,PBKS,19.59,-,19.59
Andre Russell,KKR,9.66,15.64,- 5.98
Rilee Rossouw,PBKS,9.62,9.62,-
Venkatesh Iyer,KKR,8.05,8.05,-
Harshit Rana,KKR,6.89,-,6.89
Ramandeep Singh,KKR,2.1,2.33,- 0.23
Varun Chakravarthy,KKR,0.38,-,0.38
Dushmantha Chameera,KKR,0.03,-,0.03
Angkrish Raghuvanshi,KKR,-,-,-
Ashutosh Sharma,PBKS,-,-,-
Jitesh Sharma,PBKS,-,-,-
Kagiso Rabada,PBKS,- 5.71,-,- 5.71
Rinku Singh,KKR,- 6.57,- 6.57,-
Anukul Roy,KKR,- 10.79,-,- 10.79
