Player,Team,TI,B. Impact,Bo. Impact
Sam Curran,PBKS,153.88,89.12,64.76
Avesh Khan,RR,78.55,3.24,75.31
Rahul Chahar,PBKS,58.89,-,58.89
Riyan Parag,RR,54.81,54.81,-
Yuzvendra Chahal,RR,52.83,-,52.83
Harshal Patel,PBKS,49.61,-,49.61
Nathan Ellis,PBKS,44.86,-,44.86
Ravichandran Ashwin,RR,42.99,37.98,5.02
Trent Boult,RR,37.7,12.6,25.1
Rilee Rossouw,PBKS,36.02,36.02,-
Arshdeep Singh,PBKS,22.17,-,22.17
Jitesh Sharma,PBKS,18.27,18.27,-
Sanju Samson,RR,15.5,15.5,-
Ashutosh Sharma,PBKS,14.64,14.64,-
Sandeep Sharma,RR,9.65,-,9.65
Prabhsimran Singh,PBKS,8.57,8.57,-
Yashasvi Jaiswal,RR,2.84,2.84,-
Rovman Powell,RR,0.64,0.64,-
Donovan Ferreira,RR,0.64,0.64,-
Tom Kohler-Cadmore,RR,- 1.65,- 1.65,-
Dhruv Jurel,RR,- 2.36,- 2.36,-
Shashank Singh,PBKS,- 3.18,- 3.18,-
Harpreet Brar,PBKS,- 3.25,-,- 3.25
Jonny Bairstow,PBKS,- 5.02,- 5.02,-
