Player,Team,TI,B. Impact,Bo. Impact
Matheesha Pathirana,CSK,93.52,-,93.52
Khaleel Ahmed,DC,87.25,-,87.25
David Warner,DC,59.35,59.35,-
Rishabh Pant,DC,55.59,55.59,-
Prithvi Shaw,DC,53.89,53.89,-
Ajinkya Rahane,CSK,51.89,51.89,-
Mukesh Kumar,DC,48.25,-,48.25
Axar Patel,DC,36.45,- 3.39,39.84
MS Dhoni,CSK,34.51,34.51,-
Daryl Mitchell,CSK,29.6,29.6,-
Tushar Deshpande,CSK,26.87,-,26.87
Ravindra Jadeja,CSK,24.6,12.23,12.37
Mustafizur Rahman,CSK,16.23,-,16.23
Mitchell Marsh,DC,13.6,19.46,- 5.86
Ishant Sharma,DC,8.86,-,8.86
Abishek Porel,DC,6.77,6.77,-
Shivam Dube,CSK,6.55,6.55,-
Sameer Rizvi,CSK,- 1.65,- 1.65,-
Anrich Nortje,DC,- 1.7,-,- 1.7
Ruturaj Gaikwad,CSK,- 2.48,- 2.48,-
Deepak Chahar,CSK,- 2.81,-,- 2.81
Tristan Stubbs,DC,- 4.34,- 4.34,-
Rasikh Salam,DC,- 8.69,-,- 8.69
Rachin Ravindra,CSK,- 25.36,- 25.36,-
