Player,Team,TI,B. Impact,Bo. Impact
Abhishek Sharma,SRH,100.15,100.15,-
Travis Head,SRH,95.64,95.64,-
Heinrich Klaasen,SRH,85.32,85.32,-
Tilak Varma,MI,55.58,55.58,-
Ishan Kishan,MI,54.69,54.69,-
Pat Cummins,SRH,50.37,-,50.37
Hardik Pandya,MI,41.95,4.74,37.21
Jasprit Bumrah,MI,39.6,-,39.6
Jaydev Unadkat,SRH,37.63,-,37.63
Naman Dhir,MI,34.13,34.13,-
Rohit Sharma,MI,33.24,33.24,-
Gerald Coetzee,MI,27.05,-,27.05
Tim David,MI,26.45,26.45,-
Shahbaz Ahmed,SRH,25.1,-,25.1
Romario Shepherd,MI,11.89,11.89,-
Piyush Chawla,MI,11.21,-,11.21
Aiden Markram,SRH,5.49,5.49,-
Mayank Markande,SRH,4.02,-,4.02
Bhuvneshwar Kumar,SRH,1.66,-,1.66
Abdul Samad,SRH,-,-,-
Umran Malik,SRH,- 0.8,-,- 0.8
Shams Mulani,MI,- 1.24,-,- 1.24
Kwena Maphaka,MI,- 8.11,-,- 8.11
Mayank Agarwal,SRH,- 15.97,- 15.97,-
