Player,Team,TI,B. Impact,Bo. Impact
Ravichandran Ashwin,RR,94.25,0,94.25
Trent Boult,RR,76.37,-,76.37
Cameron Green,RCB,69.72,19.48,50.24
Yashasvi Jaiswal,RR,59.99,59.99,-
Avesh Khan,RR,58.64,-,58.64
Mohammed Siraj,RCB,47.32,-,47.32
Mahipal Lomror,RCB,43.73,43.73,-
Rajat Patidar,RCB,38.97,38.97,-
Shimron Hetmyer,RR,36.89,36.89,-
Riyan Parag,RR,36.64,36.64,-
Lockie Ferguson,RCB,34.31,-,34.31
Virat Kohli,RCB,32.62,32.62,-
Karn Sharma,RCB,32.54,2.29,30.24
Yuzvendra Chahal,RR,29.07,-,29.07
Tom Kohler-Cadmore,RR,21.66,21.66,-
Rovman Powell,RR,19.93,19.93,-
Swapnil Singh,RCB,16.13,14.45,1.68
Faf du Plessis,RCB,14.24,14.24,-
Sanju Samson,RR,14.15,14.15,-
Dhruv Jurel,RR,0.2,0.2,-
Glenn Maxwell,RCB,- 2.95,- 2.95,-
Yash Dayal,RCB,- 9.28,-,- 9.28
Dinesh Karthik,RCB,- 9.3,- 9.3,-
Sandeep Sharma,RR,- 10.5,-,- 10.5
