Player,Team,TI,B. Impact,Bo. Impact
Rashid Khan,GT,113.88,31.79,82.09
Kuldeep Sen,RR,88.1,-,88.1
Shubman Gill,GT,84.45,84.45,-
Riyan Parag,RR,70.73,70.73,-
Sanju Samson,RR,68.75,68.75,-
Yuzvendra Chahal,RR,53.25,-,53.25
Rahul Tewatia,GT,29.54,29.54,-
Umesh Yadav,GT,26.75,-,26.75
Trent Boult,RR,21.32,-,21.32
Shimron Hetmyer,RR,19.8,19.8,-
Sai Sudharsan,GT,19.23,19.23,-
Avesh Khan,RR,19.05,-,19.05
Vijay Shankar,GT,17.76,17.76,-
M Shahrukh Khan,GT,16.97,16.97,-
Spencer Johnson,GT,14.97,-,14.97
Yashasvi Jaiswal,RR,14.35,14.35,-
Mohit Sharma,GT,13.09,-,13.09
Keshav Maharaj,RR,8.25,-,8.25
Ravichandran Ashwin,RR,5.69,-,5.69
Noor Ahmad,GT,3.15,0,3.15
Dhruv Jurel,RR,-,-,-
Abhinav Manohar,GT,- 3.52,- 3.52,-
Jos Buttler,RR,- 4.8,- 4.8,-
Matthew Wade,GT,- 7.74,- 7.74,-
