Player,Team,TI,B. Impact,Bo. Impact
Sunil Narine,KKR,111.01,90.01,21
Naveen-ul-Haq,LSG,72.49,0,72.49
Phil Salt,KKR,52.15,52.15,-
Ravi Bishnoi,LSG,38.5,1.1,37.4
Ramandeep Singh,KKR,36.43,36.43,-
Andre Russell,KKR,36.34,8.87,27.47
Harshit Rana,KKR,31.12,-,31.12
Marcus Stoinis,LSG,29.55,37.5,- 7.95
Varun Chakravarthy,KKR,28.23,-,28.23
Yudhvir Singh,LSG,21.91,3.94,17.96
Yash Thakur,LSG,19.55,-,19.55
Mitchell Starc,KKR,17.22,-,17.22
Angkrish Raghuvanshi,KKR,15.59,15.59,-
Shreyas Iyer,KKR,15.55,15.55,-
KL Rahul,LSG,12.15,12.15,-
Ashton Turner,LSG,11.61,11.61,-
Rinku Singh,KKR,10.07,10.07,-
Ayush Badoni,LSG,8.93,8.93,-
Nicholas Pooran,LSG,6,6,-
Arshin Kulkarni,LSG,5.99,5.99,-
Deepak Hooda,LSG,4.16,4.16,-
Krunal Pandya,LSG,1.52,0.96,0.56
Venkatesh Iyer,KKR,0.1,0.1,-
Vaibhav Arora,KKR,- 0.55,-,- 0.55
Mohsin Khan,LSG,- 6.79,-,- 6.79
