Player,Team,TI,B. Impact,Bo. Impact
Mustafizur Rahman,CSK,142.52,-,142.52
Rachin Ravindra,CSK,72.59,72.59,-
Anuj Rawat,RCB,71.42,71.42,-
Cameron Green,RCB,53.88,- 3.18,57.06
Ravindra Jadeja,CSK,52.93,26.79,26.14
Deepak Chahar,CSK,41.04,-,41.04
Faf du Plessis,RCB,38.85,38.85,-
Dinesh Karthik,RCB,36,36,-
Ajinkya Rahane,CSK,33.46,33.46,-
Yash Dayal,RCB,29.96,-,29.96
Mayank Dagar,RCB,20.16,-,20.16
Shivam Dube,CSK,19.04,19.04,-
Daryl Mitchell,CSK,18.63,18.63,-
Karn Sharma,RCB,16.03,-,16.03
Virat Kohli,RCB,10.09,10.09,-
Ruturaj Gaikwad,CSK,8.34,8.34,-
Glenn Maxwell,RCB,3.64,- 2.32,5.96
Maheesh Theekshana,CSK,1.03,-,1.03
Mohammed Siraj,RCB,0.05,-,0.05
Sameer Rizvi,CSK,-,-,-
MS Dhoni,CSK,-,-,-
Tushar Deshpande,CSK,- 1.06,-,- 1.06
Alzarri Joseph,RCB,- 2.58,-,- 2.58
Rajat Patidar,RCB,- 6.34,- 6.34,-
