Player,Team,TI,B. Impact,Bo. Impact
Travis Head,SRH,150.13,150.13,-
Jake Fraser-McGurk,DC,140.55,140.55,-
Kuldeep Yadav,DC,100.51,- 0.16,100.67
Abhishek Sharma,SRH,94.25,94.25,-
Axar Patel,DC,68.67,- 1.48,70.15
Abishek Porel,DC,51.03,51.03,-
Bhuvneshwar Kumar,SRH,50.66,-,50.66
Shahbaz Ahmed,SRH,46.21,58.48,- 12.26
T Natarajan,SRH,45.83,-,45.83
Mayank Markande,SRH,42.16,-,42.16
Nitish Kumar Reddy,SRH,36.25,7.08,29.17
Prithvi Shaw,DC,30.5,30.5,-
Heinrich Klaasen,SRH,16.2,16.2,-
Mukesh Kumar,DC,16,0,16
Anrich Nortje,DC,15.77,- 0.64,16.41
Rishabh Pant,DC,13.12,13.12,-
Pat Cummins,SRH,5.13,- 1.03,6.16
Abdul Samad,SRH,5,5,-
Washington Sundar,SRH,- 0.33,0,- 0.33
Tristan Stubbs,DC,- 4.29,- 4.29,-
Aiden Markram,SRH,- 6.47,- 6.47,-
David Warner,DC,- 7.51,- 7.51,-
Khaleel Ahmed,DC,- 12.42,-,- 12.42
Lalit Yadav,DC,- 22.19,- 0.93,- 21.26
