Player,Team,TI,B. Impact,Bo. Impact
Nitish Kumar Reddy,SRH,91.98,92.86,- 0.88
T Natarajan,SRH,86.18,-,86.18
Pat Cummins,SRH,76.8,-,76.8
Bhuvneshwar Kumar,SRH,76.75,-,76.75
Riyan Parag,RR,74.73,74.73,-
Yashasvi Jaiswal,RR,73.86,73.86,-
Avesh Khan,RR,57.47,-,57.47
Heinrich Klaasen,SRH,55.03,55.03,-
Travis Head,SRH,46.69,46.69,-
Sandeep Sharma,RR,43.93,-,43.93
Rovman Powell,RR,22.17,22.17,-
Trent Boult,RR,20.17,-,20.17
Ravichandran Ashwin,RR,15.16,- 1.09,16.25
Shimron Hetmyer,RR,7.63,7.63,-
Marco Jansen,SRH,6.2,-,6.2
Abhishek Sharma,SRH,4.17,4.17,-
Shahbaz Ahmed,SRH,0.41,-,0.41
Anmolpreet Singh,SRH,0.36,0.36,-
Abdul Samad,SRH,-,-,-
Jaydev Unadkat,SRH,- 0.23,-,- 0.23
Jos Buttler,RR,- 2.79,- 2.79,-
Dhruv Jurel,RR,- 5.49,- 5.49,-
Sanju Samson,RR,- 8.17,- 8.17,-
Yuzvendra Chahal,RR,- 22.19,-,- 22.19
