Player,Team,TI,B. Impact,Bo. Impact
Krunal Pandya,LSG,87.61,- 0.22,87.83
Marcus Stoinis,LSG,79.05,79.05,-
Yash Thakur,LSG,68.82,-,68.82
Umesh Yadav,GT,51.73,0.56,51.17
Darshan Nalkande,GT,45.29,11.76,33.53
Nicholas Pooran,LSG,42.46,42.46,-
Ayush Badoni,LSG,34.69,34.69,-
Ravi Bishnoi,LSG,34.48,-,34.48
Sai Sudharsan,GT,34.1,34.1,-
KL Rahul,LSG,28.31,28.31,-
Noor Ahmad,GT,18.99,3.78,15.21
Rashid Khan,GT,16.49,- 3.2,19.69
Rahul Tewatia,GT,15.99,15.99,-
Vijay Shankar,GT,11.62,11.62,-
Manimaran Siddharth,LSG,11.21,-,11.21
Quinton de Kock,LSG,9.52,9.52,-
Shubman Gill,GT,9.38,9.38,-
Devdutt Padikkal,LSG,6.83,6.83,-
Spencer Johnson,GT,6.52,- 0.1,6.62
BR Sharath,GT,- 4.31,- 4.31,-
Naveen-ul-Haq,LSG,- 5.5,-,- 5.5
Kane Williamson,GT,- 6.11,- 6.11,-
Mayank Yadav,LSG,- 6.93,-,- 6.93
Mohit Sharma,GT,- 13.99,-,- 13.99
