Player,Team,TI,B. Impact,Bo. Impact
Andre Russell,KKR,166.34,116.93,49.41
Harshit Rana,KKR,106.07,-,106.07
T Natarajan,SRH,94.57,-,94.57
Heinrich Klaasen,SRH,83.23,83.23,-
Sunil Narine,KKR,69.25,- 5.06,74.31
Ramandeep Singh,KKR,59.03,59.03,-
Mayank Markande,SRH,46.81,-,46.81
Abhishek Sharma,SRH,38.67,38.67,-
Phil Salt,KKR,37.98,37.98,-
Mayank Agarwal,SRH,31.86,31.86,-
Shahbaz Ahmed,SRH,27.24,28.56,- 1.31
Pat Cummins,SRH,25.57,- 3.13,28.7
Varun Chakravarthy,KKR,23.34,-,23.34
Rinku Singh,KKR,19.31,19.31,-
Suyash Sharma,KKR,9.44,-,9.44
Aiden Markram,SRH,9.43,9.43,-
Mitchell Starc,KKR,6.4,6.62,- 0.22
Venkatesh Iyer,KKR,5.73,5.73,-
Abdul Samad,SRH,5.55,5.55,-
Bhuvneshwar Kumar,SRH,- 1.69,-,- 1.69
Shreyas Iyer,KKR,- 4.17,- 4.17,-
Nitish Rana,KKR,- 4.53,- 4.53,-
Rahul Tripathi,SRH,- 6.79,- 6.79,-
Marco Jansen,SRH,- 10.69,- 0.76,- 9.93
