Player,Team,TI,B. Impact,Bo. Impact
Mayank Yadav,LSG,108,-,108
Sam Curran,PBKS,64.18,- 1.96,66.14
Krunal Pandya,LSG,58.76,53.23,5.53
Nicholas Pooran,LSG,58.51,58.51,-
Shikhar Dhawan,PBKS,54.99,54.99,-
Arshdeep Singh,PBKS,53.37,-,53.37
Quinton de Kock,LSG,49.31,49.31,-
Mohsin Khan,LSG,46.89,2.28,44.61
Jonny Bairstow,PBKS,37.19,37.19,-
Kagiso Rabada,PBKS,34.77,-,34.77
Prabhsimran Singh,PBKS,32.51,32.51,-
Marcus Stoinis,LSG,21.57,21.57,-
KL Rahul,LSG,17.87,17.87,-
Liam Livingstone,PBKS,15.56,15.56,-
Ravi Bishnoi,LSG,13.32,- 1.32,14.64
Harpreet Brar,PBKS,12.14,-,12.14
Devdutt Padikkal,LSG,9.81,9.81,-
Shashank Singh,PBKS,4.98,4.98,-
Harshal Patel,PBKS,3.12,-,3.12
Rahul Chahar,PBKS,2,-,2
Manimaran Siddharth,LSG,1.12,-,1.12
Naveen-ul-Haq,LSG,- 0.62,0,- 0.62
Ayush Badoni,LSG,- 6.65,- 6.65,-
Jitesh Sharma,PBKS,- 11.94,- 11.94,-
