Player,Team,TI,B. Impact,Bo. Impact
Kuldeep Yadav,DC,80.85,- 0.92,81.77
Abishek Porel,DC,68.59,68.59,-
Arshdeep Singh,PBKS,65.98,-,65.98
Sam Curran,PBKS,56.24,55.05,1.19
Harpreet Brar,PBKS,48.41,1.2,47.21
Liam Livingstone,PBKS,48.19,48.19,-
Axar Patel,DC,46.46,26,20.46
Harshal Patel,PBKS,39.74,-,39.74
Ishant Sharma,DC,37.59,-,37.59
Rahul Chahar,PBKS,34.42,-,34.42
Prabhsimran Singh,PBKS,31.84,31.84,-
Kagiso Rabada,PBKS,29.47,-,29.47
David Warner,DC,27.11,27.11,-
Shai Hope,DC,26.08,26.08,-
Shikhar Dhawan,PBKS,22.9,22.9,-
Khaleel Ahmed,DC,18.43,-,18.43
Jonny Bairstow,PBKS,17.73,17.73,-
Rishabh Pant,DC,13.99,13.99,-
Mitchell Marsh,DC,9.52,24.84,- 15.32
Jitesh Sharma,PBKS,2.4,2.4,-
Shashank Singh,PBKS,- 1.42,- 1.42,-
Tristan Stubbs,DC,- 7.42,- 7.42,-
Ricky Bhui,DC,- 8.73,- 8.73,-
Sumit Kumar,DC,- 16.92,- 11.6,- 5.33
