Player,Team,TI,B. Impact,Bo. Impact
Jos Buttler,RR,113.97,113.97,-
Virat Kohli,RCB,95.88,95.88,-
Sanju Samson,RR,83.28,83.28,-
Yuzvendra Chahal,RR,71.48,-,71.48
Nandre Burger,RR,66.65,-,66.65
Reece Topley,RCB,59.99,-,59.99
Faf du Plessis,RCB,31.25,31.25,-
Ravichandran Ashwin,RR,26.49,-,26.49
Yash Dayal,RCB,16.69,-,16.69
Mohammed Siraj,RCB,15.83,-,15.83
Shimron Hetmyer,RR,10.12,10.12,-
Saurav Chauhan,RCB,6.36,6.36,-
Trent Boult,RR,3.82,-,3.82
Riyan Parag,RR,3.03,1.59,1.44
Shubham Dubey,RR,-,-,-
Rajat Patidar,RCB,-,-,-
Dinesh Karthik,RCB,-,-,-
Dhruv Jurel,RR,- 0.46,- 0.46,-
Cameron Green,RCB,- 0.78,- 8.25,7.47
Avesh Khan,RR,- 1.77,-,- 1.77
Yashasvi Jaiswal,RR,- 5.08,- 5.08,-
Glenn Maxwell,RCB,- 7.17,- 7.17,-
Himanshu Sharma,RCB,- 12.97,-,- 12.97
Mayank Dagar,RCB,- 17.46,-,- 17.46
