home_team                   ,away_team                   ,the_odds_api_id                  ,sportmonks_id ,abandoned ,start                ,end
Sunrisers Hyderabad         ,Chennai Super Kings         ,59a32c80ea70fe30132d894e846eba22 ,        58379 ,FALSE     ,2024-04-05T14:00:00Z ,2024-04-05T17:19:39Z
Rajasthan Royals            ,Royal Challengers Bangalore ,280ef29b88e34498aedeac968fa059bc ,        58382 ,FALSE     ,2024-04-06T14:00:00Z ,2024-04-06T17:36:15Z
Mumbai Indians              ,Delhi Capitals              ,9fe96d583b41dfe083be0287729f01fd ,        58385 ,FALSE     ,2024-04-07T10:00:00Z ,2024-04-07T14:20:28Z
Lucknow Super Giants        ,Gujarat Titans              ,75e3c8a86dff576fce65c520ff25798c ,        58388 ,FALSE     ,2024-04-07T14:00:00Z ,2024-04-07T17:41:03Z
Chennai Super Kings         ,Kolkata Knight Riders       ,0c99f43cfdd30b7f8100c75e71b0c058 ,        59126 ,FALSE     ,2024-04-08T14:00:00Z ,2024-04-08T17:30:43Z
Punjab Kings                ,Sunrisers Hyderabad         ,6cd9dc777f59fb36aa377f08c2341588 ,        59129 ,FALSE     ,2024-04-09T14:00:00Z ,2024-04-09T17:43:24Z
Rajasthan Royals            ,Gujarat Titans              ,308f4d6c2e93dc1d70ca3ab6fc2b9662 ,        59132 ,FALSE     ,2024-04-10T14:00:00Z ,2024-04-10T18:16:28Z
Mumbai Indians              ,Royal Challengers Bangalore ,66047568a62b41acfa815fffee69b1b8 ,        59135 ,FALSE     ,2024-04-11T14:00:00Z ,2024-04-11T17:43:06Z
Lucknow Super Giants        ,Delhi Capitals              ,dcf5fb5220f4d48e7933cea6a1029f35 ,        59138 ,FALSE     ,2024-04-12T14:00:00Z ,2024-04-12T17:41:28Z
Punjab Kings                ,Rajasthan Royals            ,d28ee269a6bb36b48a96ba292213651a ,        59141 ,FALSE     ,2024-04-13T14:00:00Z ,2024-04-13T17:43:21Z
Kolkata Knight Riders       ,Lucknow Super Giants        ,e9f21d9566080b24403ea40082a7e98f ,        59144 ,FALSE     ,2024-04-14T10:00:00Z ,2024-04-14T13:29:40Z
Mumbai Indians              ,Chennai Super Kings         ,f783dee6ce33dfbf695965766674271a ,        59147 ,FALSE     ,2024-04-14T14:00:00Z ,2024-04-14T17:53:11Z
Royal Challengers Bangalore ,Sunrisers Hyderabad         ,2e71fd26d798c9d9da661888ccf437f0 ,        59150 ,FALSE     ,2024-04-15T14:00:00Z ,2024-04-15T17:41:32Z
Kolkata Knight Riders       ,Rajasthan Royals            ,ecab724a59185dde5d411ad8e0e0c592 ,        59153 ,FALSE     ,2024-04-17T14:00:00Z ,2024-04-17T16:46:43Z
Gujarat Titans              ,Delhi Capitals              ,505e44f44d4a9146243ed0409b9c2622 ,        59156 ,FALSE     ,2024-04-16T14:00:00Z ,2024-04-16T18:10:33Z
Punjab Kings                ,Mumbai Indians              ,3e4326df779cfb47a6a9efd9c07ec20b ,        59159 ,FALSE     ,2024-04-18T14:00:00Z ,2024-04-18T18:08:33Z
Lucknow Super Giants        ,Chennai Super Kings         ,e2acc48ed9f1c7dc65e8b1bc51a57742 ,        59162 ,FALSE     ,2024-04-19T14:00:00Z ,2024-04-19T17:48:03Z
Delhi Capitals              ,Sunrisers Hyderabad         ,a55f9238ff1d9711f6c35ab6d69cede0 ,        59165 ,FALSE     ,2024-04-20T14:00:00Z ,2024-04-20T17:41:50Z
Kolkata Knight Riders       ,Royal Challengers Bangalore ,41a7ce09d7c82193024084293f2a8f9e ,        59168 ,FALSE     ,2024-04-21T10:00:00Z ,2024-04-21T14:11:30Z
Punjab Kings                ,Gujarat Titans              ,15b0af07ba9dc3275c2b2b706511483d ,        59171 ,FALSE     ,2024-04-21T14:00:00Z ,2024-04-21T17:37:04Z
Rajasthan Royals            ,Mumbai Indians              ,e321cecc543e4fc76224789e2bdfeab4 ,        59174 ,FALSE     ,2024-04-22T14:00:00Z ,2024-04-22T18:14:37Z
Chennai Super Kings         ,Lucknow Super Giants        ,4a179317265e6d42505d7d004b6a5ea5 ,        59177 ,FALSE     ,2024-04-23T14:00:00Z ,2024-04-23T17:59:40Z
Delhi Capitals              ,Gujarat Titans              ,46a33bbc7ebebb6e2e15d5cf4dcbd9ba ,        59180 ,FALSE     ,2024-04-24T14:00:00Z ,2024-04-24T17:45:11Z
Sunrisers Hyderabad         ,Royal Challengers Bangalore ,aca5813a158cb47a3f6e034136f17dc0 ,        59183 ,FALSE     ,2024-04-25T14:00:00Z ,2024-04-25T17:44:21Z
Kolkata Knight Riders       ,Punjab Kings                ,82a127c1199d4ccff02cb6ef3dedc04e ,        59186 ,FALSE     ,2024-04-26T14:00:00Z ,2024-04-26T17:47:12Z
Delhi Capitals              ,Mumbai Indians              ,b65e0d253bf73df0b0c1a92626fe23bf ,        59189 ,FALSE     ,2024-04-27T10:00:00Z ,2024-04-27T14:10:50Z
Lucknow Super Giants        ,Rajasthan Royals            ,7b83f4f593667d917d6e11328b7e7f00 ,        59192 ,FALSE     ,2024-04-27T14:00:00Z ,2024-04-27T17:38:54Z
Gujarat Titans              ,Royal Challengers Bangalore ,439319f6d748b9e625338690610e1ad8 ,        59195 ,FALSE     ,2024-04-28T10:00:00Z ,2024-04-28T13:18:19Z
