match_number,home_team,away_team,the_odds_api_id,sportmonks_id,abandoned,start,end
35,Delhi Capitals,Sunrisers Hyderabad,a55f9238ff1d9711f6c35ab6d69cede0,59165,0,2024-04-20T14:00:00Z,2024-04-20T17:41:50Z
36,Kolkata Knight Riders,Royal Challengers Bangalore,41a7ce09d7c82193024084293f2a8f9e,59168,0,2024-04-21T10:00:00Z,2024-04-21T14:11:30Z
37,Punjab Kings,Gujarat Titans,15b0af07ba9dc3275c2b2b706511483d,59171,0,2024-04-21T14:00:00Z,2024-04-21T17:37:04Z
38,Rajasthan Royals,Mumbai Indians,e321cecc543e4fc76224789e2bdfeab4,59174,0,2024-04-22T14:00:00Z,2024-04-22T18:14:37Z
39,Chennai Super Kings,Lucknow Super Giants,4a179317265e6d42505d7d004b6a5ea5,59177,0,2024-04-23T14:00:00Z,2024-04-23T17:59:40Z
40,Delhi Capitals,Gujarat Titans,46a33bbc7ebebb6e2e15d5cf4dcbd9ba,59180,0,2024-04-24T14:00:00Z,2024-04-24T17:45:11Z
41,Sunrisers Hyderabad,Royal Challengers Bangalore,aca5813a158cb47a3f6e034136f17dc0,59183,0,2024-04-25T14:00:00Z,2024-04-25T17:44:21Z
42,Kolkata Knight Riders,Punjab Kings,82a127c1199d4ccff02cb6ef3dedc04e,59186,0,2024-04-26T14:00:00Z,2024-04-26T17:47:12Z
43,Delhi Capitals,Mumbai Indians,b65e0d253bf73df0b0c1a92626fe23bf,59189,0,2024-04-27T10:00:00Z,2024-04-27T14:10:50Z
44,Lucknow Super Giants,Rajasthan Royals,7b83f4f593667d917d6e11328b7e7f00,59192,0,2024-04-27T14:00:00Z,2024-04-27T17:38:54Z
45,Gujarat Titans,Royal Challengers Bangalore,439319f6d748b9e625338690610e1ad8,59195,0,2024-04-28T10:00:00Z,2024-04-28T13:18:19Z
46,Chennai Super Kings,Sunrisers Hyderabad,94c2b3ef3987ecb6b7ef4282f4a59525,59198,0,2024-04-28T14:00:00Z,2024-04-28T17:59:53Z
47,Kolkata Knight Riders,Delhi Capitals,e9d805d1c3136952434e3b244aad8d98,59201,0,2024-04-29T14:00:00Z,2024-04-29T17:29:00Z
48,Lucknow Super Giants,Mumbai Indians,67d1b5e03a17bec8800c44ebcb2a6214,59204,0,2024-04-30T14:00:00Z,2024-04-30T17:52:30Z
49,Chennai Super Kings,Punjab Kings,cf42b8112d3177db79ff5fff69ec45ba,59207,0,2024-05-01T14:00:00Z,2024-05-01T17:56:28Z
50,Sunrisers Hyderabad,Rajasthan Royals,cffa268d37ccd86d7897f865c28bbc6c,59210,0,2024-05-02T14:00:00Z,2024-05-02T17:58:43Z
51,Mumbai Indians,Kolkata Knight Riders,0ae6c36cc2013631224635935ba9b08c,59213,0,2024-05-03T14:00:00Z,2024-05-03T17:45:11Z
52,Royal Challengers Bangalore,Gujarat Titans,ff5b6654aaf45e888fb6de171dc78752,59216,0,2024-05-04T14:00:00Z,2024-05-04T17:16:19Z
53,Punjab Kings,Chennai Super Kings,8f6bbc573b0f4e8a32808b325238976f,59219,0,2024-05-05T10:00:00Z,2024-05-05T13:37:08Z
54,Lucknow Super Giants,Kolkata Knight Riders,f4b5caf9cdbfc618771566d51556cdf8,59222,0,2024-05-05T14:00:00Z,2024-05-05T17:46:37Z
55,Mumbai Indians,Sunrisers Hyderabad,3ff8125b66b8941c8b37086773fb0b9a,59225,0,2024-05-06T14:00:00Z,2024-05-06T17:41:59Z
56,Delhi Capitals,Rajasthan Royals,96560985c977883a82c6479ca59e9db0,59228,0,2024-05-07T14:00:00Z,2024-05-07T17:56:25Z
57,Sunrisers Hyderabad,Lucknow Super Giants,c8361b54daa38d7ebb28f33d4dab1bf5,59231,0,2024-05-08T14:00:00Z,2024-05-08T16:45:19Z
58,Punjab Kings,Royal Challengers Bangalore,e218a919ff4a0ea5e8f0523d8170bf2a,59234,0,2024-05-09T14:00:00Z,2024-05-09T18:10:27Z
59,Gujarat Titans,Chennai Super Kings,b3ab24ebab6c83cfb56b9bddbdd222b0,59237,0,2024-05-10T14:00:00Z,2024-05-10T18:00:17Z
60,Kolkata Knight Riders,Mumbai Indians,afb775b1a59a9c802346437059a85175,59240,0,2024-05-11T14:00:00Z,2024-05-11T19:02:18Z
61,Chennai Super Kings,Rajasthan Royals,ff8e936ee33ac5d5a3ff73f59794d943,59243,0,2024-05-12T10:00:00Z,2024-05-12T13:34:52Z
62,Royal Challengers Bangalore,Delhi Capitals,6c96ea1c3ff1ebc35aa3e7827301206a,59246,0,2024-05-12T14:00:00Z,2024-05-12T17:35:22Z
63,Gujarat Titans,Kolkata Knight Riders,22db1f5fdeea99945fac4d39fe9f2352,59249,1,,
64,Delhi Capitals,Lucknow Super Giants,148be889056e8550a8a077b8f9bf9a12,59252,0,2024-05-14T14:00:00Z,2024-05-14T17:55:40Z
65,Rajasthan Royals,Punjab Kings,26624628dd624908bf9e1e9c010a534a,59255,0,2024-05-15T14:00:00Z,2024-05-15T17:43:50Z
66,Sunrisers Hyderabad,Gujarat Titans,a4b90ee5edee989df0ad8c6483063580,59258,1,,
67,Mumbai Indians,Lucknow Super Giants,904e9987d0f20181862cc5f3160a955b,59261,0,2024-05-17T14:00:00Z,2024-05-17T18:46:50Z
68,Royal Challengers Bangalore,Chennai Super Kings,593eb211f83a641fd16a47bc094a92b2,59264,0,2024-05-18T14:00:00Z,2024-05-18T18:33:55Z
69,Sunrisers Hyderabad,Punjab Kings,da23c93b35ff326aee7afe569ef7c8f0,59267,0,2024-05-19T10:00:00Z,2024-05-19T13:45:27Z
70,Rajasthan Royals,Kolkata Knight Riders,3b4aa4d11c88e301ad9126ce2a967bfc,59270,1,,
71,Kolkata Knight Riders,Sunrisers Hyderabad,0a49c78b3551586c05cb905453ef100b,59273,0,2024-05-21T14:00:00Z,2024-05-21T17:14:22Z
72,Rajasthan Royals,Royal Challengers Bangalore,6a5ef307364476061d56363a8b6efca4,59276,0,2024-05-22T14:00:00Z,2024-05-22T17:54:23Z
73,Sunrisers Hyderabad,Rajasthan Royals,4de3c3589b60052b14521f8325489fea,59279,0,2024-05-24T14:00:00Z,2024-05-24T17:48:10Z
74,Kolkata Knight Riders,Sunrisers Hyderabad,abf07c0604f2f530cca29bbaa7448967,59282,0,2024-05-26T14:00:00Z,2024-05-26T16:55:01Z
